decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2024-01-02,BBFO11.SA,BBFO11,fii,FII BB FOF,CI  ER,BRBBFOCTF004,2024-01-02,73.01,528481.9661666666,60,186,8754,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BTAG11.SA,BTAG11,fii,FIAGRO BTAG,CI,BRBTAGCTF003,2024-01-02,100.2,511178.142,60,326,3082,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RBRX11.SA,RBRX11,fii,FII RBR MULT,CI,BRRBRXCTF006,2024-01-02,9.46,508454.26833333337,60,2152,19385,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,QAGR11.SA,QAGR11,fii,FII QUASAR A,CI,BRQAGRCTF005,2024-01-02,50.91,498623.87583333335,60,466,3751,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HSAF11.SA,HSAF11,fii,FII HSI CRI,CI  ER,BRHSAFCTF004,2024-01-02,84.85,494303.34483333334,60,1895,8572,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,GCRA11.SA,GCRA11,fii,FIAGRO GLPG,CI,BRGCRACTF005,2024-01-02,75.99,491971.00399999996,60,256,4492,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,MFII11.SA,MFII11,fii,FII MERITO I,CI  ER,BRMFIICTF008,2024-01-02,94.0,491082.95366666664,60,672,8227,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,CLIN11.SA,CLIN11,fii,FII CLAVE IN,CI,BRCLINCTF007,2024-01-02,100.0,484945.16875,40,1268,8091,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,LGCP11.SA,LGCP11,fii,FII LGCP INT,CI  ER,BRLGCPCTF006,2024-01-02,89.69,478707.11600000004,60,487,5193,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,BTRA11.SA,BTRA11,fii,FII BTG TAGR,CI  ER,BRBTRACTF000,2024-01-02,61.18,456201.27266666666,60,2509,11119,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,SNFF11.SA,SNFF11,fii,FII SUNOFOFI,CI,BRSNFFCTF001,2024-01-02,86.34,446468.51,60,866,8890,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,NAVT11.SA,NAVT11,fii,FII NAVI TOT,CI,BRNAVTCTF015,2024-01-02,92.0,439366.14433333336,60,80,1638,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RBFF11.SA,RBFF11,fii,FII RIOB FF,CI  ER,BRRBFFCTF008,2024-01-02,60.3,428830.80416666664,60,483,7632,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,NCHB11.SA,NCHB11,fii,FII NCH BR,CI,BRNCHBCTF000,2024-01-02,83.95,413222.3845,60,260,5363,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,RECT11.SA,RECT11,fii,FII REC REND,CI,BRRECTCTF000,2024-01-02,47.45,392361.6533333333,60,986,10781,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,HBRH11.SA,HBRH11,fii,FII MULT REN,CI  ER,BRHBRHCTF000,2024-01-02,92.76,389442.00192982453,57,12,65,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,XPPR11.SA,XPPR11,fii,FII XP PROP,CI  ER,BRXPPRCTF000,2024-01-02,22.31,368170.1575,60,1320,10612,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,PLCR11.SA,PLCR11,fii,FII PLURAL R,CI  ER,BRPLCRCTF003,2024-01-02,88.66,365780.517,60,280,1613,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
